Unique_ID,Monument_Name,Honoree,City,County,State,Union_or_Confederacy,lat_long,latitude,longitude,long_lat,Monument_Type,Sponsor,Year_Dedicated,Year_Removed,Was_Removed,Latitude,Longitude,Number,Street,City,State,County,Zip,Country
18,Robert E. Lee Street,Robert E. Lee,Mobile,Mobile,AL,South,"30.661088, -88.076747",30.661088,-88.076747,"-88.076747, 30.661088",Highway / Roadway,Unknown,Unknown,,Active,30.661262,-88.076761,1608,Robert E Lee St,Mobile,AL,Mobile County,36605,US
19,Johnston Street,Joseph Eggleston Johnston,Mobile,Mobile,AL,South,"30.659250, -88.077004",30.65925,-88.077004,"-88.077004, 30.65925",Highway / Roadway,Unknown,Unknown,,Active,30.659458,-88.076992,1606,Johnston St,Mobile,AL,Mobile County,36605,US
20,Van Dorn Street,Earl Van Dorn,Mobile,Mobile,AL,South,"30.658428, -88.077154",30.658428,-88.077154,"-88.077154, 30.658428",Highway / Roadway,Unknown,Unknown,,Active,30.658608,-88.077155,1606,Van Dorn St,Mobile,AL,Mobile County,36605,US
21,Forrest Street,Nathan Bedford Forrest,Mobile,Mobile,AL,South,"30.657773, -88.078828",30.657773,-88.078828,"-88.078828, 30.657773",Highway / Roadway,Unknown,Unknown,,Active,30.657929,-88.078804,1656,Forrest St,Mobile,AL,Mobile County,36605,US
22,Polk Street,Leonidas Polk,Mobile,Mobile,AL,South,"30.659955, -88.075649",30.659955,-88.075649,"-88.075649, 30.659955",Highway / Roadway,Unknown,Unknown,,Active,30.66012,-88.075518,1572,Polk St,Mobile,AL,Mobile County,36605,US
23,Beauregard Street,Pierre Gustave Toutant-Beauregard,Mobile,Mobile,AL,South,"30.698853, -88.048766",30.698853,-88.048766,"-88.048766, 30.698853",Highway / Roadway,Unknown,Unknown,,Active,30.699088,-88.048798,303,Renaissance Dr E,Mobile,AL,Mobile County,36603,US
24,Robert E. Lee Drive,Robert E. Lee,Gardendale,Jefferson,AL,South,"33.733602, -86.884543",33.733602,-86.884543,"-86.884543, 33.733602",Highway / Roadway,Unknown,Unknown,,Active,33.734056,-86.88409,5160,Robert E Lee Dr,Gardendale,AL,Jefferson County,35071,US
25,Robert E. Lee Drive,Robert E. Lee,Hodges,Franklin,AL,South,"34.328267, -87.934417",34.328267,-87.934417,"-87.934417, 34.328267",Highway / Roadway,Unknown,Unknown,,Active,34.328364,-87.934375,321,Robert E Lee Dr,Hodges,AL,Franklin County,35571,US
26,Jefferson Davis Drive,Jefferson Davis,Livingston,Sumter,AL,South,"32.565678, -88.213255",32.565678,-88.213255,"-88.213255, 32.565678",Highway / Roadway,Unknown,Unknown,,Active,32.56516,-88.212937,1109,Us Hwy 11,Livingston,AL,Sumter County,35470,US
27,Lee Street,Robert E. Lee,Livingston,Sumter,AL,South,"32.566509, -88.213330",32.566509,-88.21333,"-88.21333, 32.566509",Highway / Roadway,Unknown,Unknown,,Active,32.566898,-88.212566,101,Lee St,Livingston,AL,Sumter County,35470,US
28,Hood Street,John Bell Hood,Livingston,Sumter,AL,South,"32.567496, -88.214500",32.567496,-88.2145,"-88.2145, 32.567496",Highway / Roadway,Unknown,Unknown,,Active,32.567738,-88.214256,199,Hood St,Livingston,AL,Sumter County,35470,US
30,Forrest Drive,Nathan Bedford Forrest,Livingston,Sumter,AL,South,"32.568808, -88.213738",32.568808,-88.213738,"-88.213738, 32.568808",Highway / Roadway,Unknown,Unknown,,Active,32.569249,-88.214028,138,Forrest Dr,Livingston,AL,Sumter County,35470,US
31,Stonewall Street,"Thomas Jonathan ""Stonewall"" Jackson",Livingston,Sumter,AL,South,"32.568722, -88.216334",32.568722,-88.216334,"-88.216334, 32.568722",Highway / Roadway,Unknown,Unknown,,Active,32.568909,-88.216234,102,Stonewall St,Livingston,AL,Sumter County,35470,US
32,Morgan Drive,John Hunt Morgan,Livingston,Sumter,AL,South,"32.568515, -88.215304",32.568515,-88.215304,"-88.215304, 32.568515",Highway / Roadway,Unknown,Unknown,,Active,32.56899,-88.215937,199,Morgan Dr,Livingston,AL,Sumter County,35470,US
33,Jeff Davis Street,Jefferson Davis,Fairhope,Baldwin,AL,South,"30.528577, -87.884626",30.528577,-87.884626,"-87.884626, 30.528577",Highway / Roadway,Unknown,Unknown,,Active,30.528505,-87.884889,209,Jeff Davis St,Fairhope,AL,Baldwin County,36532,US
34,Stonewall Circle,"Thomas Jonathan ""Stonewall"" Jackson",Ozark,Dale,AL,South,"31.425819, -85.670013",31.425819,-85.670013,"-85.670013, 31.425819",Highway / Roadway,Unknown,Unknown,,Active,31.425791,-85.66966,149,Stonewall Cir,Ozark,AL,Dale County,36360,US
35,Jeb Stewart [sic] Place,"James Ewell Brown ""Jeb"" Stuart",Ozark,Dale,AL,South,"31.423742, -85.669376",31.423742,-85.669376,"-85.669376, 31.423742",Highway / Roadway,Unknown,Unknown,,Active,31.423193,-85.669364,140,Jeb Stewart Pl,Ozark,AL,Dale County,36360,US
36,Confederate Parkway,No specific honoree,McCalla,Tuscaloosa,AL,South,"33.250051, -87.071044",33.250051,-87.071044,"-87.071044, 33.250051",Highway / Roadway,Unknown,Unknown,,Active,33.251902,-87.076844,19800,Bridewell Cir,McCalla,AL,Tuscaloosa County,35111,US
37,Jefferson Davis Avenue,Jefferson Davis,Montgomery,Montgomery,AL,South,"32.366163, -86.319009",32.366163,-86.319009,"-86.319009, 32.366163",Highway / Roadway,Unknown,Unknown,,Active,32.36631,-86.319039,678,W Jeff Davis Ave,Montgomery,AL,Montgomery County,36108,US
38,Jefferson Davis Highway,Jefferson Davis,Montgomery,Montgomery,AL,South,"32.312688, -86.345179",32.312688,-86.345179,"-86.345179, 32.312688",Highway / Roadway,Unknown,Unknown,,Active,32.313012,-86.345192,,US 80,Montgomery,AL,Montgomery County,36108,US
40,Robert E. Lee Day*,Robert E. Lee,Montgomery,Montgomery,AL,South,"32.377573, -86.300406",32.377573,-86.300406,"-86.300406, 32.377573",Holiday / Observances,State of Alabama,Unknown,,Active,32.377771,-86.300576,600,Dexter Ave,Montgomery,AL,Montgomery County,36104,US
41,Jefferson Davis Birthday*,Jefferson Davis,Montgomery,Montgomery,AL,South,"32.377740, -86.300070",32.37774,-86.30007,"-86.30007, 32.37774",Holiday / Observances,State of Alabama,Unknown,,Active,32.377739,-86.299991,11,S Union St,Montgomery,AL,Montgomery County,36104,US
42,Confederate Memorial Day*,No specific honoree,Montgomery,Montgomery,AL,South,"32.377271, -86.300466",32.377271,-86.300466,"-86.300466, 32.377271",Holiday / Observances,State of Alabama,Unknown,,Active,32.377771,-86.300576,600,Dexter Ave,Montgomery,AL,Montgomery County,36104,US
43,Fort Rucker,Edmund Rucker,Fort Rucker,Dale,AL,South,"31.339996, -85.712824",31.339996,-85.712824,"-85.712824, 31.339996",Military Base,U.S. Army,1942,,Active,31.339219,-85.713788,26,Red Cloud Rd,Fort Rucker,AL,Dale County,36362,US
44,Major John Pelham Monument,John Pelham,Anniston,Calhoun,AL,South,"33.659631, -85.826700",33.659631,-85.8267,"-85.8267, 33.659631",Monument,Dr. Clarence J. Owens,1905,,Active,33.659493,-85.826565,1160,Us Hwy 431,Anniston,AL,Calhoun County,36201,US
45,Confederate Soldiers and Sailors Monument,No specific honoree,Birmingham,Jefferson,AL,South,"33.520755, -86.809902",33.520755,-86.809902,"-86.809902, 33.520755",Monument,United Daughters of the Confederacy,1905,,Active,33.521026,-86.809864,2001,Rev Abraham Woods Jr Blvd,Birmingham,AL,Jefferson County,35203,US
47,Confederate Monument,No specific honoree,Demopolis,Marengo,AL,South,"32.510361, -87.841361",32.510361,-87.841361,"-87.841361, 32.510361",Monument,United Daughters of the Confederacy,1910,,Active,32.510465,-87.841645,400,W Pettus St,Demopolis,AL,Marengo County,36732,US
48,Breastworks Confederate Memorial,No specific honoree,Demopolis,Marengo,AL,South,"32.510368, -87.841312",32.510368,-87.841312,"-87.841312, 32.510368",Monument,United Daughters of the Confederacy,1941,,Active,32.510584,-87.841114,314,W Pettus St,Demopolis,AL,Marengo County,36732,US
49,Confederate Monument,No specific honoree,Eufaula,Barbour,AL,South,"31.893015, -85.145715",31.893015,-85.145715,"-85.145715, 31.893015",Monument,United Daughters of the Confederacy,1904,,Active,31.893137,-85.145663,211,Us Hwy 431,Eufaula,AL,Barbour County,36027,US
50,Confederate Monument,No specific honoree,Fort Payne,DeKalb,AL,South,"34.444020, -85.719553",34.44402,-85.719553,"-85.719553, 34.44402",Monument,Sons and Daughters of Confederate Soldiers,1913,,Active,34.443732,-85.720092,,US 11,Fort Payne,AL,DeKalb County,35967,US
51,Emma Sansom Monument,Nathan Bedford Forrest,Gadsden,Etowah,AL,South,"34.011170, -85.999667",34.01117,-85.999667,"-85.999667, 34.01117",Monument,City of Gadsden,1907,,Active,34.011581,-85.999859,101,Broad St,Gadsden,AL,Etowah County,35901,US
52,Turkey Town Monument,No specific honoree,Gadsden,Etowah,AL,South,"34.066312, -85.928552",34.066312,-85.928552,"-85.928552, 34.066312",Monument,Sons of Confederate Veterans,1992,,Active,34.066203,-85.928508,4173,Us Hwy 411,Gadsden,AL,Etowah County,35901,US
53,Butler County Confederate Monument,No specific honoree,Greenville,Butler,AL,South,"31.829067, -86.623017",31.829067,-86.623017,"-86.623017, 31.829067",Monument,United Daughters of the Confederacy,1903,,Active,31.82884,-86.623426,106,Posey St,Greenville,AL,Butler County,36037,US
54,Confederate Veterans Bicentennial Memorial,No specific honoree,Hamilton,Marion,AL,South,"34.142160, -87.988839",34.14216,-87.988839,"-87.988839, 34.14216",Monument,"Judge James F. Shotts Senior, Colonel U.S.A.R. Retired 1952",1977,,Active,34.142364,-87.988554,101,Us Hwy 43,Hamilton,AL,Marion County,35570,US
55,Henry County Confederate Memorial,No specific honoree,Headland,Henry,AL,South,"31.352090, -85.342587",31.35209,-85.342587,"-85.342587, 31.35209",Monument,United Daughters of the Confederacy,1936,,Active,31.352386,-85.342833,50,Main St,Headland,AL,Henry County,36345,US
56,Confederate Monument,No specific honoree,Jacksonville,Calhoun,AL,South,"33.813806, -85.761289",33.813806,-85.761289,"-85.761289, 33.813806",Monument,United Daughters of the Confederacy,1909,,Active,33.814061,-85.76074,13,Public Sq E,Jacksonville,AL,Calhoun County,36265,US
58,Robinson Springs Camp Confederate Monument,No specific honoree,Millbrook,Elmore,AL,South,"32.513694, -86.375944",32.513694,-86.375944,"-86.375944, 32.513694",Monument,United Confederate Veterans,1913,,Active,32.513801,-86.375699,2,Monument Dr,Millbrook,AL,Elmore County,36054,US
60,Admiral Raphael Semmes Statue,Raphael Semmes,Mobile,Mobile,AL,South,"30.690331, -88.039952",30.690331,-88.039952,"-88.039952, 30.690331",Monument,Unknown,1900,,Active,30.690315,-88.040242,100,Us Hwy 90,Mobile,AL,Mobile County,36602,US
61,Dexter Avenue Monument,No specific honoree,Montgomery,Montgomery,AL,South,"32.377517, -86.302367",32.377517,-86.302367,"-86.302367, 32.377517",Monument,United Daughters of the Confederacy,1942,,Active,32.377212,-86.302175,500,Dexter Ave,Montgomery,AL,Montgomery County,36104,US
62,Robert E. Lee Statue,Robert E. Lee,Montgomery,Montgomery,AL,South,"32.378517, -86.272250",32.378517,-86.27225,"-86.27225, 32.378517",Monument,Unknown,1908,,Active,32.378511,-86.271929,225,Ann St,Montgomery,AL,Montgomery County,36107,US
63,"John Allan Wyeth M.D., L.L.D. Marker",John Allan Wyeth,Montgomery,Montgomery,AL,South,"32.377483, -86.300950",32.377483,-86.30095,"-86.30095, 32.377483",Monument,Unknown,Unknown,,Active,32.377771,-86.300576,600,Dexter Ave,Montgomery,AL,Montgomery County,36104,US
64,Confederate Monument,No specific honoree,Opelika,Lee,AL,South,"32.646055, -85.376913",32.646055,-85.376913,"-85.376913, 32.646055",Monument,Unknown,1911,,Active,32.646065,-85.376921,306,S 8th St,Opelika,AL,Lee County,36801,US
65,Dale County Confederate Soldiers Monument,No specific honoree,Ozark,Dale,AL,South,"31.458467, -85.640350",31.458467,-85.64035,"-85.64035, 31.458467",Monument,United Daughters of the Confederacy,1910,,Active,31.458291,-85.640459,142,W Reynolds St,Ozark,AL,Dale County,36360,US
66,Confederate Monument,No specific honoree,Prattville,Autauga,AL,South,"32.463698, -86.475073",32.463698,-86.475073,"-86.475073, 32.463698",Monument,United Daughters of the Confederacy,1908,,Active,32.463397,-86.474544,163,E 4th St,Prattville,AL,Autauga County,36067,US
67,Prattville Dragoons Monument II,No specific honoree,Prattville,Autauga,AL,South,"32.462561, -86.469191",32.462561,-86.469191,"-86.469191, 32.462561",Monument,Sons of Confederate Veterans,2002,,Active,32.462923,-86.469903,103,N Washington St,Prattville,AL,Autauga County,36067,US
68,General Joseph Wheeler,Joseph Wheeler,Rogersville,Lauderdale,AL,South,"34.811697, -87.332484",34.811697,-87.332484,"-87.332484, 34.811697",Monument,Sons of Confederate Veterans,2006,,Active,34.810403,-87.331403,201,McLean Dr,Rogersville,AL,Lauderdale County,35652,US
69,Selma Navy Yard Memorial,No specific honoree,Selma,Dallas,AL,South,"32.408736, -87.014073",32.408736,-87.014073,"-87.014073, 32.408736",Monument,United Daughters of the Confederacy,1917,,Active,32.408713,-87.014254,1661,Water Ave,Selma,AL,Dallas County,36703,US
70,Defense of Selma Memorial,No specific honoree,Selma,Dallas,AL,South,"32.426912, -87.014171",32.426912,-87.014171,"-87.014171, 32.426912",Monument,United Daughters of the Confederacy,1907,,Active,32.427208,-87.014381,1932,Marie Foster St,Selma,AL,Dallas County,36703,US
71,The Soldier Dead of Lowndes,No specific honoree,Hayneville,Lowndes,AL,South,"32.183797, -86.580356",32.183797,-86.580356,"-86.580356, 32.183797",Monument,United Daughters of the Confederacy,Unknown,,Active,32.184013,-86.580731,1,W Tuskeena St,Hayneville,AL,Lowndes County,36040,US
72,Confederate Monument,No specific honoree,Troy,Pike,AL,South,"31.807677, -85.971731",31.807677,-85.971731,"-85.971731, 31.807677",Monument,United Daughters of the Confederacy and United Confederate Veterans,1908,,Active,31.807667,-85.971327,52,E Court Sq,Troy,AL,Pike County,36081,US
73,University of Alabama Civil War Monument,No specific honoree,Tuscaloosa,Tuscaloosa,AL,South,"33.211119, -87.546154",33.211119,-87.546154,"-87.546154, 33.211119",Monument,United Daughters of the Confederacy,1914,,Active,33.211543,-87.546092,713,Capstone Dr,Tuscaloosa,AL,Tuscaloosa County,35401,US
74,Tuskegee Confederate Monument,No specific honoree,Tuskegee,Macon,AL,South,"32.424080, -85.690879",32.42408,-85.690879,"-85.690879, 32.42408",Monument,United Daughters of the Confederacy,1906,,Active,32.424428,-85.691147,200,N Main St,Tuskegee,AL,Macon County,36083,US
75,Confederate Monument,No specific honoree,Ashville,St. Clair,AL,South,"33.836704, -86.254769",33.836704,-86.254769,"-86.254769, 33.836704",Monument,United Daughters of the Confederacy,1923,,Active,33.836503,-86.253677,117,Us Hwy 411,Ashville,AL,St. Clair County,35953,US
76,Confederate Soldier Monument,No specific honoree,Athens,Limestone,AL,South,"34.803130, -86.971613",34.80313,-86.971613,"-86.971613, 34.80313",Monument,United Daughters of the Confederacy,1909,,Active,34.803358,-86.972129,99,Jefferson St S,Athens,AL,Limestone County,35611,US
77,Confederate Monument,No specific honoree,Butler,Choctaw,AL,South,"32.089505, -88.221657",32.089505,-88.221657,"-88.221657, 32.089505",Monument,United Daughters of the Confederacy,1937,,Active,32.089833,-88.221291,101,N Mulberry Ave,Butler,AL,Choctaw County,36904,US
78,Confederate Monument,No specific honoree,Carrollton,Pickens,AL,South,"33.261693, -88.095029",33.261693,-88.095029,"-88.095029, 33.261693",Monument,Friends and patriotic citizens of Pickens County,1927,,Active,33.261043,-88.096451,324,Sanders St,Carrollton,AL,Pickens County,35447,US
79,Confederate Monument,No specific honoree,Centre,Cherokee,AL,South,"34.152201, -85.678926",34.152201,-85.678926,"-85.678926, 34.152201",Monument,Sons of Confederate Veterans,1988,,Active,34.151291,-85.679262,182,1st Ave,Centre,AL,Cherokee County,35960,US
80,Confederate Monument,No specific honoree,Centreville,Bibb,AL,South,"32.945272, -87.135436",32.945272,-87.135436,"-87.135436, 32.945272",Monument,United Daughters of the Confederacy,1910,,Active,32.945511,-87.135508,8,Court Sq,Centreville,AL,Bibb County,35042,US
81,Confederate Monument,No specific honoree,Decatur,Morgan,AL,South,"34.606831, -86.985015",34.606831,-86.985015,"-86.985015, 34.606831",Monument,United Daughters of the Confederacy,1922,,Active,34.60687,-86.985037,302,Lee St NE,Decatur,AL,Morgan County,35602,US
82,Confederate Monument,No specific honoree,Fayette,Fayette,AL,South,"33.685178, -87.831207",33.685178,-87.831207,"-87.831207, 33.685178",Monument,United Daughters of the Confederacy,1929,,Active,33.685209,-87.830922,116,Temple Ave N,Fayette,AL,Fayette County,35555,US
83,Confederate Monument,No specific honoree,Florence,Lauderdale,AL,South,"34.799040, -87.675443",34.79904,-87.675443,"-87.675443, 34.79904",Monument,Ladies Memorial Association,1903,,Active,34.799257,-87.675339,200,Us Hwy 43,Florence,AL,Lauderdale County,35630,US
84,Confederate Monument,No specific honoree,Greensboro,Hale,AL,South,"32.703982, -87.592450",32.703982,-87.59245,"-87.59245, 32.703982",Monument,Ladies Memorial Association,1904,,Active,32.704141,-87.592531,1004,Main St,Greensboro,AL,Hale County,36744,US
85,Confederate Veterans Memorial,No specific honoree,Huntsville,Madison,AL,South,"34.730297, -86.585074",34.730297,-86.585074,"-86.585074, 34.730297",Monument,United Daughters of the Confederacy,1905,,Active,34.730242,-86.585116,100,N Side Sq SE,Huntsville,AL,Madison County,35801,US
86,Confederate Monument,No specific honoree,Jasper,Walker,AL,South,"33.832425, -87.277152",33.832425,-87.277152,"-87.277152, 33.832425",Monument,United Daughters of the Confederacy,1907,,Active,33.832265,-87.276838,2025,2nd Ave,Jasper,AL,Walker County,35501,US
87,Confederate Monument,No specific honoree,Livingston,Sumter,AL,South,"32.582667, -88.188100",32.582667,-88.1881,"-88.1881, 32.582667",Monument,United Daughters of the Confederacy,1909,,Active,32.583044,-88.188916,298,Washington St S,Livingston,AL,Sumter County,35470,US
88,Confederate Monument,No specific honoree,Moulton,Lawrence,AL,South,"34.481358, -87.291843",34.481358,-87.291843,"-87.291843, 34.481358",Monument,Sons of Confederate Veterans and acknowledgment given to the United Daughters of the Confederacy,2006,,Active,34.481786,-87.292311,14315,Court St,Moulton,AL,Lawrence County,35650,US
89,Confederate Veterans Monument,No specific honoree,Tuscumbia,Colbert,AL,South,"34.733696, -87.703805",34.733696,-87.703805,"-87.703805, 34.733696",Monument,United Daughters of the Confederacy,1911,,Active,34.733866,-87.704239,201,Main St,Tuscumbia,AL,Colbert County,35674,US
90,Confederate Monument,No specific honoree,Montgomery,Montgomery,AL,South,"32.378470, -86.300527",32.37847,-86.300527,"-86.300527, 32.37847",Monument,Ladies Memorial Association and State of Alabama,1898,,Active,32.377771,-86.300576,600,Dexter Ave,Montgomery,AL,Montgomery County,36104,US
91,Jefferson Davis Statue,Jefferson Davis,Montgomery,Montgomery,AL,South,"32.377850, -86.300900",32.37785,-86.3009,"-86.3009, 32.37785",Monument,United Daughters of the Confederacy,1940,,Active,32.377771,-86.300576,600,Dexter Ave,Montgomery,AL,Montgomery County,36104,US
92,Jefferson Davis' Presidential Star,Jefferson Davis,Montgomery,Montgomery,AL,South,"32.377722, -86.300702",32.377722,-86.300702,"-86.300702, 32.377722",Monument,United Daughters of the Confederacy,1897,,Active,32.377771,-86.300576,600,Dexter Ave,Montgomery,AL,Montgomery County,36104,US
93,City of Beauregard,Pierre Gustave Toutant-Beauregard,Beauregard,Lee,AL,South,"32.543419, -85.370948",32.543419,-85.370948,"-85.370948, 32.543419",City,Unknown,Unknown,,Active,32.5433,-85.370994,7835,Marvyn Pkwy,Opelika,AL,Lee County,36804,US
94,City of Clanton,James H. Clanton,Clanton,Chilton,AL,South,"32.839569, -86.629694",32.839569,-86.629694,"-86.629694, 32.839569",City,Unknown,1868,,Active,32.839619,-86.630051,598,2nd Ave N,Clanton,AL,Chilton County,35045,US
95,City of Wheeler,Joseph Wheeler,Wheeler,Lawrence,AL,South,"34.654470, -87.250244",34.65447,-87.250244,"-87.250244, 34.65447",City,Unknown,Unknown,,Active,34.652676,-87.250005,12413,Us Hwy 72,Hillsboro,AL,Lawrence County,35643,US
96,Confederate Park,No specific honoree,Demopolis,Marengo,AL,South,"32.517778, -87.838379",32.517778,-87.838379,"-87.838379, 32.517778",Park,United Daughters of the Confederacy,1923,,Active,32.518708,-87.838385,112,W Capitol St,Demopolis,AL,Marengo County,36732,US
97,McFarland Park and Recreation Area,Robert McFarland,Florence,Lauderdale,AL,South,"34.785212, -87.680529",34.785212,-87.680529,"-87.680529, 34.785212",Park,Unknown,Unknown,,Active,34.790032,-87.685079,924,Riverview Dr,Florence,AL,Lauderdale County,35630,US
98,Confederate Park,No specific honoree,Greenville,Butler,AL,South,"31.829374, -86.623011",31.829374,-86.623011,"-86.623011, 31.829374",Park,United Daughters of the Confederacy and City of Greenville,1897,,Active,31.829546,-86.622574,100,E Commerce St,Greenville,AL,Butler County,36037,US
99,Confederate Memorial Park,No specific honoree,Marbury,Autauga,AL,South,"32.718827, -86.474056",32.718827,-86.474056,"-86.474056, 32.718827",Park,State of Alabama,1964,,Active,32.718612,-86.474139,531,Co Rd 63,Verbena,AL,Chilton County,36091,US
100,Joe Wheeler State Park,Joseph Wheeler,Rogersville,Lauderdale,AL,South,"34.818236, -87.345549",34.818236,-87.345549,"-87.345549, 34.818236",Park,State of Alabama,1949,,Active,34.819503,-87.346577,1601,County Rd 572,Rogersville,AL,Lauderdale County,35652,US
101,Jefferson Davis Community College,Jefferson Davis,Brewton,Escambia,AL,South,"31.101312, -87.085382",31.101312,-87.085382,"-87.085382, 31.101312",College,Unknown,1965,2017,Removed,31.100835,-87.084738,287,Alco Dr,Brewton,AL,Escambia County,36426,US
102,Robert E. Lee High School,Robert E. Lee,Montgomery,Montgomery,AL,South,"32.378512, -86.272053",32.378512,-86.272053,"-86.272053, 32.378512",School,Unknown,1955,,Active,32.378511,-86.271929,225,Ann St,Montgomery,AL,Montgomery County,36107,US
103,Jefferson Davis High School,Jefferson Davis,Montgomery,Montgomery,AL,South,"32.343234, -86.262223",32.343234,-86.262223,"-86.262223, 32.343234",School,Unknown,1968,,Active,32.343017,-86.262106,3420,Carter Hill Rd,Montgomery,AL,Montgomery County,36111,US
104,Beauregard Elementary School,Pierre Gustave Toutant-Beauregard,Opelika,Lee,AL,South,"32.549874, -85.372087",32.549874,-85.372087,"-85.372087, 32.549874",School,Unknown,1928,,Active,32.548659,-85.374161,7575,Marvyn Pkwy,Opelika,AL,Lee County,36804,US
105,Beauregard High School,Pierre Gustave Toutant-Beauregard,Opelika,Lee,AL,South,"32.547138, -85.367999",32.547138,-85.367999,"-85.367999, 32.547138",School,Unknown,1928,,Active,32.544694,-85.371963,7741,Marvyn Pkwy,Opelika,AL,Lee County,36804,US
